State,Year,Intake - Relinquished By Owner Total-Feline,Intake - Stray At Large Total-Feline,Intake - Transferred In Total-Feline,Intake - Owner Intended Euthanasia Total-Feline,Intakes - Other Intakes Total-Feline,Live Outcome - Adoption Total-Feline,Live Outcome - Returned To Owner Total-Feline,Live Outcome - Returned To Field Total-Feline,Live Outcome - Transferred Out Total-Feline,Live outcome - Other Live Outcome Total-Feline,Other Outcome - Died In Care Total-Feline,Other Outcome - Lost In Care Total-Feline,Other Outcome - Owner Intended Euthanasia Total-Feline,Other Outcome - Shelter Euthanasia Total-Feline,Intake - Relinquished By Owner Total-Canine,Intake - Stray At Large Total-Canine,Intake - Transferred In Total-Canine,Intake - Owner Intended Euthanasia Total-Canine,Intakes - Other Intakes Total-Canine,Live Outcome - Adoption Total-Canine,Live Outcome - Returned To Owner Total-Canine,Live Outcome - Returned To Field Total-Canine,Live Outcome - Transferred Out Total-Canine,Live outcome - Other Live Outcome Total-Canine,Other Outcome - Died In Care Total-Canine,Other Outcome - Lost In Care Total-Canine,Other Outcome - Owner Intended Euthanasia Total-Canine,Other Outcome - Shelter Euthanasia Total-Canine
AK,2019,850,"1,786",32,67,68,"1,689",353,0,25,0,56,2,68,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2020,800,"1,404",61,51,68,"1,755",331,0,38,0,60,5,50,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2021,743,"1,522",85,37,70,"1,886",289,1,69,0,98,0,38,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,2019,"5,006","7,199",811,16,467,"7,582",140,744,"1,104",0,423,31,21,"2,663","6,383","13,978","1,784",113,494,"9,484","2,895",15,"5,927",1,310,27,111,"3,094"
AL,2020,"3,495","6,803",527,19,525,"6,816",140,747,"1,139",0,272,35,14,"1,456","5,919","10,502","2,159",67,413,"7,480","2,303",16,"6,483",5,253,21,63,"2,054"
AL,2021,"3,282","7,481",683,7,995,"7,181",147,"1,180","1,136",90,374,13,11,"2,073","5,742","10,539","1,824",34,"1,078","7,681","2,584",0,"6,118",90,260,13,37,"2,099"
AR,2019,"1,131","3,618",158,3,259,"3,630",557,48,382,228,111,3,1,398,"1,553","7,211",261,2,420,"3,712","3,367",0,"1,765",472,62,1,4,464
AR,2020,953,"2,307",435,3,176,"3,140",166,73,248,268,137,17,3,188,"1,744","4,164",459,15,236,"3,199","1,477",0,"1,577",305,80,3,5,264
AR,2021,"1,129","2,406",333,49,256,"3,274",125,163,194,198,83,5,3,244,"1,750","4,487",419,32,354,"3,524","1,482",4,"1,564",266,75,1,34,294
AZ,2019,"11,933","14,168","1,367",555,"2,042","20,098",508,443,"1,794","1,203",940,50,477,"3,708","21,098","29,033","5,675","1,898","3,810","35,632","11,501",578,"8,344",391,590,78,"1,677","3,044"
AZ,2020,"8,410","11,719","1,446",507,"1,564","16,664",447,188,"1,813",543,501,50,497,"3,046","10,188","24,101","5,986","1,681","3,887","28,214","7,283",0,"6,043",703,374,19,"1,636","2,031"
AZ,2021,"9,823","14,545","1,192",103,"1,681","17,735",480,71,"1,468","3,201",700,50,107,"3,363","11,206","27,297","5,005",580,"4,793","29,709","8,784",0,"5,392",757,493,24,590,"2,346"
CA,2019,"24,213","120,718","19,659","1,701","4,599","89,620","3,828","7,847","21,573","4,074","4,625",691,"1,718","35,204","34,685","101,945","17,380","4,452","9,414","81,442","36,732",133,"26,418","1,831","1,116",185,"4,327","15,031"
CA,2020,"16,607","67,931","20,091","1,104","4,305","62,926","2,834","8,005","15,712","1,566","2,516",413,"1,071","12,182","21,091","62,379","13,461","3,147","6,439","52,723","23,652",226,"18,518","1,080",736,124,"2,982","7,122"
CA,2021,"16,771","72,028","13,327","1,216","7,726","64,086","2,955","10,259","13,692","2,358","3,066",215,"1,020","11,877","22,453","64,753","11,058","3,081","7,539","52,522","24,714",79,"17,821","1,485",770,89,"2,762","7,388"
CO,2019,"12,361","16,628","7,201",420,"3,924","27,927","2,010","2,409","2,659",502,664,42,405,"3,578","9,750","16,805","10,897",975,"4,544","23,096","12,471",380,"2,649",328,280,41,937,"2,689"
CO,2020,"10,702","14,531","8,413",120,"4,503","27,167","2,204","2,948","2,600",386,479,47,80,"2,698","8,811","12,163","10,729",347,"3,739","22,761","9,843",273,"2,080",233,143,38,273,"2,005"
CO,2021,"13,309","17,291","7,522",97,"4,607","29,103","2,295","3,259","2,772",333,681,40,92,"3,263","11,067","15,190","9,815",347,"3,320","22,847","11,324",129,"1,766",132,145,14,301,"2,061"
CT,2019,880,992,935,109,183,"2,589",32,56,156,18,50,0,95,98,394,345,"1,540",152,163,"1,834",248,0,237,38,16,0,155,44
CT,2020,669,718,874,70,181,"2,089",40,76,127,39,103,1,57,70,232,266,919,97,101,"1,161",226,0,150,39,13,0,96,21
CT,2021,755,698,509,94,544,"2,050",43,37,117,52,70,2,91,63,319,292,412,165,475,916,251,0,137,45,7,0,170,34
DC,2019,958,"2,296",421,382,928,"3,318",154,430,145,3,94,4,252,277,875,"1,461",694,705,416,"2,435",680,1,180,9,28,0,555,315
DC,2020,704,"1,987",421,262,"1,337","3,738",116,421,74,4,70,2,168,230,671,"1,012",251,587,366,"1,662",486,0,78,7,30,0,469,193
DC,2021,812,"2,246",189,237,902,"2,955",147,615,77,13,85,0,193,241,868,"1,206",180,506,354,"1,645",650,0,119,6,35,2,430,168
DE,2019,479,532,29,0,14,875,20,15,93,3,49,0,0,74,201,87,203,0,0,470,36,0,0,0,3,1,0,12
DE,2020,561,331,2,0,79,864,11,48,26,1,53,0,0,64,140,59,239,0,0,403,25,0,2,0,1,0,0,20
DE,2021,589,606,7,0,56,"1,120",18,59,25,0,53,0,0,66,137,53,362,0,1,517,23,0,3,0,3,0,0,20
FL,2019,"22,963","73,305","11,234","2,915","17,358","68,842","2,618","20,912","11,092","1,254","4,100",433,"2,099","16,476","25,271","46,855","15,333","5,638","6,790","59,586","14,542",7,"12,535","1,148",608,81,"5,033","6,401"
FL,2020,"20,122","65,148","10,860","2,111","7,752","60,381","2,178","17,401","11,291",799,"2,755",369,"1,580","8,711","17,610","33,905","13,810","4,152","5,970","45,371","11,777",186,"9,885","1,579",373,94,"3,774","3,452"
FL,2021,"23,101","77,172","10,129","2,059","4,570","68,580","1,840","21,349","10,057","1,191","3,067",190,"1,552","9,463","20,038","35,643","12,521","3,905","7,203","46,197","12,398",1,"9,924","2,508",458,66,"3,520","3,850"
GA,2019,"10,082","12,950","9,023",89,"4,168","22,013",568,"1,152","7,296",64,"1,367",32,84,"3,674","11,233","16,543","9,900",192,"5,926","25,294","5,202",1,"9,405",95,359,40,192,"3,362"
GA,2020,"8,902","12,335","8,143",72,"3,717","20,629",429,800,"7,837",41,"1,021",45,73,"2,286","8,776","12,424","6,699",189,"4,684","19,559","4,170",0,"7,958",14,268,30,192,"1,443"
GA,2021,"10,001","13,426","9,189",96,"4,587","23,402",511,991,"6,103","2,178","1,188",30,63,"2,602","9,586","13,806","6,902",161,"5,037","19,511","4,563",2,"7,105","1,120",254,39,166,"1,759"
HI,2019,"2,801","12,810",0,99,9,"4,889","1,313",552,740,0,184,123,99,"7,719","3,549","5,862",251,96,107,"4,761","3,062",0,639,0,42,5,79,"1,180"
HI,2020,"2,272","8,403",4,161,54,"4,965",606,421,678,0,162,72,149,"3,673","2,370","4,085",357,406,63,"3,686","1,990",0,414,1,32,3,398,793
HI,2021,"2,571","8,163",182,274,59,"5,193",447,775,"1,099",0,174,66,109,"2,888","2,571","4,433",203,620,62,"3,628","2,168",19,460,0,25,3,248,782
IA,2019,"4,194","6,333",211,327,"1,249","7,882",518,880,751,62,646,14,319,"1,216","3,059","3,671",992,590,"1,407","5,379","2,858",0,250,27,68,4,608,508
IA,2020,"3,909","5,783",359,354,485,"7,775",488,853,929,53,330,1,352,913,"2,490","3,400",897,574,623,"4,446","2,535",0,136,0,41,1,569,383
IA,2021,"3,903","6,486",607,390,617,"8,120",556,724,739,10,349,146,387,746,"3,571","3,621","1,391",613,681,"5,299","2,648",0,356,0,59,34,593,381
ID,2019,"3,806","10,807",902,293,"2,060","10,134",450,"1,345","1,126",862,398,80,287,"3,011","3,819","6,739","2,873",514,"1,250","8,446","4,287",0,581,524,66,7,502,685
ID,2020,"3,239","7,705","1,076",160,"1,363","9,203",392,"1,010",936,635,253,72,163,"1,179","3,342","5,153","2,281",442,918,"7,188","3,287",1,523,442,52,7,451,438
ID,2021,"3,216","8,055",761,192,615,"8,666",407,"1,753",436,388,246,29,178,882,"3,244","5,360","2,192",461,978,"7,139","3,545",0,344,158,77,7,449,363
IL,2019,"5,753","7,414","8,246",107,950,"18,746",354,107,589,30,767,5,107,"2,289","4,448","3,635","13,280",263,"1,346","18,120","1,895",0,491,46,253,16,254,"1,543"
IL,2020,"5,433","5,950","9,280",97,916,"18,017",343,134,721,15,638,11,97,"1,313","4,083","2,326","14,661",238,934,"18,064","1,470",0,529,9,222,18,240,919
IL,2021,"7,262","6,255","9,706",119,"1,361","19,651",420,362,705,81,878,4,118,"1,364","4,728","2,549","12,596",273,"1,167","17,144","1,816",0,638,220,233,1,275,861
IN,2019,"12,326","19,816","4,851",408,"3,923","24,021","1,098","3,696","4,983",581,"1,175",91,349,"4,628","9,139","16,245","3,648",927,"3,388","16,199","8,237",0,"4,656",173,215,95,773,"2,684"
IN,2020,"9,389","15,761","5,200",356,"2,772","21,351",977,"2,374","4,817",472,866,54,265,"2,806","6,011","11,628","2,926",716,"2,475","11,277","6,627",1,"3,422",74,157,49,578,"1,580"
IN,2021,"10,380","18,575","5,687",368,"4,083","23,057","1,008","1,948","5,439","1,412","1,197",92,347,"3,395","6,923","12,657","3,046",956,"3,042","12,174","7,150",64,"3,023",410,219,92,822,"1,713"
KS,2019,"6,044","5,402","5,023",217,266,"11,185",634,2,"2,365",160,471,6,224,"1,848","4,782","7,309","4,600",606,194,"9,438","3,896",0,"2,406",10,52,6,589,"1,106"
KS,2020,"4,762","4,242","4,629",154,270,"9,630",349,3,"2,648",246,309,1,154,880,"3,490","4,941","4,064",489,293,"7,335","2,590",0,"2,178",20,46,7,481,639
KS,2021,"4,837","4,295","5,070",208,709,"10,599",344,86,"2,326",114,410,7,194,886,"4,011","5,011","3,877",596,"1,208","7,957","2,804",5,"1,909",117,57,10,586,784
KY,2019,"6,453","11,310","3,349",155,580,"11,610",338,"1,790","3,127",137,517,11,132,"3,893","6,861","10,684","4,383",305,813,"10,717","3,288",0,"6,713",54,165,11,246,"1,440"
KY,2020,"7,216","8,362","3,174",90,399,"9,932",376,"2,220","4,026",84,329,16,84,"2,267","5,941","7,848","2,971",275,826,"7,679","3,257",3,"5,592",11,103,1,236,"1,237"
KY,2021,"7,677","8,702","4,005",120,537,"11,028",370,"1,960","3,586",64,449,7,94,"2,617","6,097","8,572","2,866",242,"1,037","7,710","3,550",0,"4,940",0,140,1,196,"1,330"
LA,2019,"4,724","17,040","1,790",183,"3,018","9,586",384,"2,787","4,885",462,"1,370",229,128,"6,616","6,706","12,675","2,582",584,"3,985","8,531","3,706",19,"7,605",161,322,112,434,"4,693"
LA,2020,"3,488","11,891","2,403",124,"1,529","8,162",293,"1,843","6,370",250,679,88,91,"2,002","4,260","9,252","2,263",486,"2,524","5,693","2,607",63,"6,721",196,253,100,345,"2,647"
LA,2021,"4,022","18,341","2,246",239,"1,380","9,407","1,056","3,879","7,937",275,814,33,177,"1,744","5,216","12,857","1,876",723,"2,270","5,968","3,281",7,"8,560",63,279,27,635,"2,364"
MA,2019,"4,153","3,085","3,065",384,419,"9,079",354,204,123,20,74,3,308,741,"1,768",542,"3,440",415,"1,565","6,343",368,0,174,7,16,0,399,403
MA,2020,"2,498","2,210","3,299",303,321,"7,236",229,162,66,18,65,0,256,476,"1,135",591,"2,079",364,"1,445","4,799",254,0,83,2,20,2,314,277
MA,2021,"2,936","2,539","3,508",184,466,"7,834",274,298,87,29,63,2,133,634,"1,192",445,"2,447",229,"1,758","4,852",251,0,111,9,21,1,187,534
MD,2019,"2,521","5,853","1,371",100,485,"6,043",343,40,"1,995",65,341,17,94,"1,476","2,539","3,842","1,157",335,"1,678","4,740","2,247",0,"1,241",58,56,1,326,838
MD,2020,"2,112","5,372","2,160",115,303,"6,290",220,37,"2,216",41,305,27,116,860,"2,153","2,621","1,235",358,923,"3,531","1,705",0,"1,164",17,41,0,348,607
MD,2021,"2,503","5,525","1,580",120,257,"6,137",258,77,"1,698",26,259,31,116,"1,255","2,330","2,809","1,114",399,"1,217","3,804","1,839",2,888,11,28,2,393,771
ME,2019,"2,317","1,816","2,482",49,171,"6,152",200,2,126,9,128,2,23,182,841,892,"2,791",75,32,"3,528",729,0,83,8,17,0,59,119
ME,2020,"1,995","1,225","1,829",57,154,"4,936",218,0,23,1,93,2,46,122,518,655,"1,441",67,33,"2,027",615,0,30,2,11,0,57,50
ME,2021,"2,048","1,293","1,884",30,377,"4,992",222,3,19,17,128,0,29,152,602,545,"1,339",51,195,"2,010",596,0,24,18,4,1,37,63
MI,2019,"12,114","13,035","2,695","1,486","1,046","23,207",722,464,"1,735",153,622,17,"1,527","1,835","6,389","7,466","7,754","2,646","1,315","15,331","4,034",1,"1,101",100,131,5,"2,695","1,917"
MI,2020,"9,845","10,289","2,389",871,"1,244","20,381",709,297,918,48,504,7,867,"1,249","4,400","5,009","6,490","1,634","1,258","11,950","3,073",0,561,33,84,2,"1,596","1,385"
MI,2021,"10,979","11,985","2,860",922,"1,008","22,515",692,489,361,135,548,5,918,"1,195","5,446","6,074","7,407","1,787",844,"14,096","3,551",0,472,16,110,4,"1,798","1,455"
MN,2019,"3,312","4,582","2,447",33,"1,661","8,835",383,496,"1,324",1,243,7,41,552,"1,846","1,867","2,484",1,399,"5,031","1,219",1,218,10,26,0,40,122
MN,2020,"3,768","4,481","3,102",18,"1,222","9,971",299,464,"1,160",3,259,13,8,278,"1,750","1,443","3,225",2,393,"5,466",973,8,222,3,41,1,3,113
MN,2021,"3,905","4,348","3,650",39,"2,094","10,719",311,793,"1,003",108,289,2,4,282,"1,594","1,337","3,052",3,467,"5,242",975,0,328,6,61,3,0,108
MO,2019,"4,912","5,935","2,902",3,"1,024","12,234",856,228,192,4,411,24,92,626,"5,139","7,171","4,454",19,"1,019","12,918","2,920",2,"1,165",1,155,18,73,604
MO,2020,"5,665","5,001","2,436",70,"1,217","12,111","1,187",211,111,9,365,20,26,431,"4,670","5,858","2,638",202,682,"10,109","2,501",0,933,0,94,8,71,514
